index,canton,sex,age,count,percentage,cases,fatalities,cases_pp,fatalities_pp
2155,FR,Female,77,1063,0.006762086513994911,4,0,0.0037629350893697085,0.0
2156,FR,Female,78,886,0.005636132315521628,7,0,0.007900677200902935,0.0
2157,FR,Female,79,922,0.0058651399491094144,7,1,0.007592190889370932,0.0010845986984815619
2158,FR,Female,80,849,0.005400763358778626,7,1,0.008244994110718492,0.001177856301531213
2159,FR,Female,81,743,0.004726463104325699,4,0,0.005383580080753701,0.0
2160,FR,Female,82,745,0.004739185750636132,8,2,0.010738255033557046,0.0026845637583892616
2161,FR,Female,83,753,0.004790076335877863,9,1,0.01195219123505976,0.0013280212483399733
2162,FR,Female,84,691,0.004395674300254453,7,1,0.010130246020260492,0.001447178002894356
2163,FR,Female,85,632,0.004020356234096692,9,1,0.014240506329113924,0.0015822784810126582
2164,FR,Female,86,605,0.0038486005089058526,11,2,0.01818181818181818,0.003305785123966942
2165,FR,Female,87,500,0.0031806615776081423,17,4,0.034,0.008
2166,FR,Female,88,478,0.0030407124681933843,9,1,0.01882845188284519,0.0020920502092050207
2167,FR,Female,89,444,0.0028244274809160305,4,1,0.009009009009009009,0.0022522522522522522
2168,FR,Female,90,363,0.0023091603053435115,5,2,0.013774104683195593,0.005509641873278237
2169,FR,Female,91,346,0.0022010178117048344,4,1,0.011560693641618497,0.002890173410404624
2170,FR,Female,92,294,0.0018702290076335877,6,2,0.02040816326530612,0.006802721088435374
2171,FR,Female,93,197,0.0012531806615776082,7,1,0.03553299492385787,0.005076142131979695
2172,FR,Female,94,194,0.0012340966921119594,4,0,0.020618556701030927,0.0
2173,FR,Female,95,143,0.0009096692111959288,2,1,0.013986013986013986,0.006993006993006993
2174,FR,Female,96,120,0.0007633587786259542,2,1,0.016666666666666666,0.008333333333333333
2175,FR,Female,97,90,0.0005725190839694657,7,2,0.07777777777777778,0.022222222222222223
2176,FR,Female,98,55,0.00034987277353689566,1,0,0.01818181818181818,0.0
2177,FR,Female,99,88,0.000559796437659033,2,0,0.022727272727272728,0.0
1980,FR,Male,1,1740,0.011021447483436158,0,0,0.0,0.0
1981,FR,Male,2,1833,0.01161052484893016,0,0,0.0,0.0
1982,FR,Male,3,1816,0.011502844040183945,0,0,0.0,0.0
1983,FR,Male,4,1819,0.01152184653584504,1,0,0.0005497526113249038,0.0
1984,FR,Male,5,1799,0.011395163231437728,0,0,0.0,0.0
1985,FR,Male,6,1822,0.011540849031506139,0,0,0.0,0.0
1986,FR,Male,7,1788,0.011325487414013707,0,0,0.0,0.0
1987,FR,Male,8,1853,0.011737208153337472,0,0,0.0,0.0
1988,FR,Male,9,1836,0.011629527344591257,0,0,0.0,0.0
1989,FR,Male,10,1856,0.011756210648998568,0,0,0.0,0.0
1990,FR,Male,11,1781,0.011281148257471148,0,0,0.0,0.0
1991,FR,Male,12,1775,0.011243143266148954,0,0,0.0,0.0
1992,FR,Male,13,1754,0.011110125796521276,0,0,0.0,0.0
1993,FR,Male,14,1756,0.011122794126962007,0,0,0.0,0.0
1994,FR,Male,15,1776,0.01124947743136932,0,0,0.0,0.0
1995,FR,Male,16,1766,0.011186135779165664,1,0,0.0005662514156285391,0.0
1996,FR,Male,17,1825,0.011559851527167235,0,0,0.0,0.0
1997,FR,Male,18,1941,0.012294614692729645,1,0,0.0005151983513652757,0.0
1998,FR,Male,19,1927,0.012205936379644526,0,0,0.0,0.0
1999,FR,Male,20,1984,0.012566983797205366,3,0,0.0015120967741935483,0.0
2000,FR,Male,21,2076,0.013149726997479003,3,0,0.001445086705202312,0.0
2001,FR,Male,22,2104,0.01332708362364924,5,0,0.002376425855513308,0.0
2002,FR,Male,23,2063,0.01306738284961425,7,0,0.0033931168201648087,0.0
2003,FR,Male,24,2158,0.013669128545548982,6,0,0.0027803521779425394,0.0
2004,FR,Male,25,2143,0.013574116067243498,5,0,0.0023331777881474567,0.0
2005,FR,Male,26,2220,0.01406184678921165,4,0,0.0018018018018018018,0.0
2006,FR,Male,27,2250,0.014251871745822618,5,0,0.0022222222222222222,0.0
2007,FR,Male,28,2297,0.014549577511179801,3,0,0.00130605137135394,0.0
2008,FR,Male,29,2189,0.013865487667380315,2,0,0.0009136592051164915,0.0
2009,FR,Male,30,2251,0.014258205911042984,5,0,0.002221235006663705,0.0
2010,FR,Male,31,2171,0.013751472693413735,4,0,0.0018424689083371719,0.0
2011,FR,Male,32,2179,0.01380214601517666,1,0,0.0004589261128958238,0.0
2012,FR,Male,33,2225,0.014093517615313477,5,0,0.0022471910112359553,0.0
2013,FR,Male,34,2188,0.01385915350215995,6,0,0.002742230347349177,0.0
2014,FR,Male,35,2191,0.013878155997821048,1,0,0.00045641259698767686,0.0
2015,FR,Male,36,2214,0.014023841797889456,8,0,0.0036133694670280035,0.0
2016,FR,Male,37,2194,0.013897158493482144,1,0,0.00045578851412944393,0.0
2017,FR,Male,38,2215,0.014030175963109822,4,0,0.0018058690744920992,0.0
2018,FR,Male,39,2140,0.013555113571582402,1,0,0.00046728971962616824,0.0
